Language,Country,Region/State,City,Category,Subcategory,Provider,Vocalizing,URL
ES,ESPAÑA,,Barcelona,La Vanguardia,,La Vanguardia,La Vanguardia,http://feeds.feedburner.com/lavanguardia/home
ES,ESPAÑA,,Barcelona,Portada,RSS Noticias ,El Periódico,El Periódico,http://www.elperiodico.com/es/rss/rss_portada.xml
ES,ESPAÑA,,Barcelona,Opinión,RSS Noticias ,El Periódico,El Periódico,http://www.elperiodico.com/es/rss/opinion/rss.xml
ES,ESPAÑA,,Barcelona,Internacional,RSS Noticias ,El Periódico,El Periódico,http://www.elperiodico.com/es/rss/internacional/rss.xml
ES,ESPAÑA,,Barcelona,Política,RSS Noticias ,El Periódico,El Periódico,http://www.elperiodico.com/es/rss/politica/rss.xml
ES,ESPAÑA,,Barcelona,Sociedad,RSS Noticias ,El Periódico,El Periódico,http://www.elperiodico.com/es/rss/sociedad/rss.xml
ES,ESPAÑA,,Barcelona,Economía,RSS Noticias ,El Periódico,El Periódico,http://www.elperiodico.com/es/rss/economia/rss.xml
ES,ESPAÑA,,Barcelona,Barcelona,RSS Noticias ,El Periódico,El Periódico,http://www.elperiodico.com/es/rss/barcelona/rss.xml
ES,ESPAÑA,,Barcelona,Tecnología,RSS Noticias ,El Periódico,El Periódico,http://www.elperiodico.com/es/rss/tecnologia/rss.xml
ES,ESPAÑA,,Barcelona,Deportes,RSS Noticias ,El Periódico,El Periódico,http://www.elperiodico.com/es/rss/deportes/rss.xml
ES,ESPAÑA,,Barcelona,Ocio y cultura,RSS Noticias ,El Periódico,El Periódico,http://www.elperiodico.com/es/rss/ocio-y-cultura/rss.xml
ES,ESPAÑA,,Barcelona,Gente y TV,RSS Noticias ,El Periódico,El Periódico,http://www.elperiodico.com/es/rss/gente-y-tv/rss.xml
ES,ESPAÑA,,Barcelona,Ciudades - L'Hospitalet,RSS Noticias ,El Periódico,El Periódico,http://www.elperiodico.com/es/rss/hospitalet/rss.xml
ES,ESPAÑA,,Barcelona,Ciudades - Cornellà,RSS Noticias ,El Periódico,El Periódico,http://www.elperiodico.com/es/rss/cornella/rss.xml
ES,ESPAÑA,,Barcelona,Ciudades - Sabadell,RSS Noticias ,El Periódico,El Periódico,http://www.elperiodico.com/es/rss/sabadell/rss.xml
ES,ESPAÑA,,Barcelona,Ciudades - Terrassa,RSS Noticias ,El Periódico,El Periódico,http://www.elperiodico.com/es/rss/terrassa/rss.xml
ES,ESPAÑA,,Barcelona,Ciudades - Badalona,RSS Noticias ,El Periódico,El Periódico,http://www.elperiodico.com/es/rss/badalona/rss.xml
ES,ESPAÑA,,Barcelona,Ciudades - Santa Coloma,RSS Noticias ,El Periódico,El Periódico,http://www.elperiodico.com/es/rss/santa-coloma/rss.xml
