Language,Country,Region/State,City,Category,Subcategory,Provider,Vocalizing,URL
EN,USA,,,Rangers,Sports,Daily News,Daily News,http://www.nydailynews.com/sports/hockey/rangers/index_rss.xml
EN,USA,,,College,Sports,Daily News,Daily News,http://www.nydailynews.com/sports/college/index_rss.xml
EN,USA,,,High School,Sports,Daily News,Daily News,http://www.nydailynews.com/sports/high-school/index_rss.xml
EN,USA,,,Other Sports,Sports,Daily News,Daily News,http://www.nydailynews.com/sports/more_sports/index_rss.xml
EN,USA,,,Sports Columnists,Sports,Daily News,Daily News,http://www.nydailynews.com/sports/columnists/index_rss.xml
EN,USA,,,Showbiz,Showbiz,Daily News,Daily News,http://www.nydailynews.com/entertainment/index_rss.xml
EN,USA,,,Gossip,Showbiz,Daily News,Daily News,http://www.nydailynews.com/gossip/index_rss.xml
EN,USA,,,TV & Movies,Showbiz,Daily News,Daily News,http://www.nydailynews.com/entertainment/tv-movies/index_rss.xml
EN,USA,,,Music & Arts,Showbiz,Daily News,Daily News,http://www.nydailynews.com/entertainment/music-arts/index_rss.xml
EN,USA,,,Confidential,Showbiz,Daily News,Daily News,http://www.nydailynews.com/entertainment/gossip/confidential/index_rss.xml
EN,USA,,,Showbiz Columnists,Showbiz,Daily News,Daily News,http://www.nydailynews.com/entertainment/columnists/index_rss.xml
EN,USA,,,Opinion,Opinion,Daily News,Daily News,http://www.nydailynews.com/opinions/index_rss.xml
EN,USA,,,Opinion Columnists,Opinion,Daily News,Daily News,http://www.nydailynews.com/opinions/columnists/index_rss.xml
EN,USA,,,Living,Living,Daily News,Daily News,http://www.nydailynews.com/life-style/index_rss.xml
EN,USA,,,Homes,Living,Daily News,Daily News,http://www.nydailynews.com/life-style/real-estate/index_rss.xml
EN,USA,,,Health,Living,Daily News,Daily News,http://www.nydailynews.com/lifestyle/health/index_rss.xml
EN,USA,,,Food,Living,Daily News,Daily News,http://www.nydailynews.com/life-style/eats/index_rss.xml
EN,USA,,,Horoscopes,Living,Daily News,Daily News,http://www.nydailynews.com/life-style/horoscopes/index_rss.xml
EN,USA,,,Blogs,Blogs,Daily News,Daily News,http://feeds.nydailynews.com/nydnrss/blogs/
EN,USA,,,The Daily Politics,Blogs,Daily News,Daily News,http://www.nydailynews.com/blogs/dailypolitics/index_rss.xml
EN,USA,,,The Rumble,Blogs,Daily News,Daily News,http://www.nydailynews.com/blogs/dailypolitics/index_rss.xml
EN,USA,,,Mouth Of The Potomac,Blogs,Daily News,Daily News,http://www.nydailynews.com/blogs/dc/index_rss.xml
EN,USA,,,The Blue Screen,Blogs,Daily News,Daily News,http://www.nydailynews.com/blogs/giants/index_rss.xml
EN,USA,,,Jets Stream,Blogs,Daily News,Daily News,http://www.nydailynews.com/blogs/jets/index_rss.xml
EN,USA,,,Blogging The Bombers,Blogs,Daily News,Daily News,http://www.nydailynews.com/blogs/yankees/index_rss.xml
EN,USA,,,Surfing the Mets,Blogs,Daily News,Daily News,http://www.nydailynews.com/blogs/mets/index_rss.xml
EN,USA,,,The Bitter Bill,Blogs,Daily News,Daily News,http://www.nydailynews.com/blogs/bitterbill/index_rss.xml
EN,USA,,,The Blueshirts Blog,Blogs,Daily News,Daily News,http://www.nydailynews.com/blogs/rangers/index_rss.xml
EN,USA,,,Knicks Knation,Blogs,Daily News,Daily News,http://www.nydailynews.com/blogs/knicks/index_rss.xml
EN,USA,,,The InterNets,Blogs,Daily News,Daily News,http://www.nydailynews.com/blogs/nets/index_rss.xml
EN,USA,,,The Schoolyard,Blogs,Daily News,Daily News,http://www.nydailynews.com/blogs/schoolyard/index_rss.xml
