Language,Country,Region/State,City,Category,Subcategory,Provider,Vocalizing,URL
RU,Россия,,,Проект BFM.ru,,BFM,би эф эм,http://www.bfm.ru/news.rss
RU,Россия,,,Лента новостей,,BFM,би эф эм,http://www.bfm.ru/news.rss?type=news
RU,Россия,,,Статьи,,BFM,би эф эм,http://www.bfm.ru/news.rss?type=article
RU,Россия,,,Breaking News,,BFM,би эф эм,http://www.bfm.ru/news.rss?container_breaking=8
RU,Россия,,,Hi-Tech,,BFM,би эф эм,http://www.bfm.ru/news.rss?tag=18
RU,Россия,,,Макроэкономика,,BFM,би эф эм,http://www.bfm.ru/news.rss?rubric=19
RU,Россия,,,Медиа,,BFM,би эф эм,http://www.bfm.ru/news.rss?tag=20
RU,Россия,,,Металлургия,,BFM,би эф эм,http://www.bfm.ru/news.rss?tag=21
RU,Россия,,,Недвижимость,,BFM,би эф эм,http://www.bfm.ru/news.rss?tag=22
RU,Россия,,,Потребрынок,,BFM,би эф эм,http://www.bfm.ru/news.rss?tag=23
RU,Россия,,,Индустрия,,BFM,би эф эм,http://www.bfm.ru/news.rss?tag=24
RU,Россия,,,Телеком,,BFM,би эф эм,http://www.bfm.ru/news.rss?tag=25
RU,Россия,,,Транспорт,,BFM,би эф эм,http://www.bfm.ru/news.rss?tag=26
RU,Россия,,,ТЭК,,BFM,би эф эм,http://www.bfm.ru/news.rss?tag=27
RU,Россия,,,Финансы,,BFM,би эф эм,http://www.bfm.ru/news.rss?rubric=28
RU,Россия,,,антикризис,,BFM,би эф эм,http://www.bfm.ru/news.rss?tag=32
RU,Россия,,,Конфликты,,BFM,би эф эм,http://www.bfm.ru/news.rss?rubric=35
RU,Россия,,,IT,,BFM,би эф эм,http://www.bfm.ru/news.rss?tag=1399
RU,Россия,,,Сноб,,Сноб,Сноб,http://www.snob.ru/rss/all
RU,Россия,,,Все материалы,,Слон,Слон,http://slon.ru/rss/xml/all.xml
RU,Россия,,,Россия,,Слон,Слон,http://slon.ru/rss/xml/russia.xml
RU,Россия,,,Экономика,,Слон,Слон,http://slon.ru/rss/xml/economics.xml
RU,Россия,,,Бизнес,,Слон,Слон,http://slon.ru/rss/xml/business.xml
RU,Россия,,,Деньги,,Слон,Слон,http://slon.ru/rss/xml/money.xml
RU,Россия,,,Мир,,Слон,Слон,http://slon.ru/rss/xml/world.xml
RU,Россия,,,Будущее,,Слон,Слон,http://slon.ru/rss/xml/future.xml
RU,Россия,,,Самые главные новости (3-5 в день),,Newsru,Ньюс ру,http://feeds.newsru.com/com/www/news/top
RU,Россия,,,Главные новости (10-20 в день),,Newsru,Ньюс ру,http://feeds.newsru.com/com/www/news/big
RU,Россия,,,Важные новости (40-50 в день),,Newsru,Ньюс ру,http://feeds.newsru.com/com/www/news/main
RU,Россия,,,Все новости,,Newsru,Ньюс ру,http://feeds.newsru.com/com/www/news/all
RU,Россия,,,Россия,,Newsru,Ньюс ру,http://feeds.newsru.com/com/www/section/russia
RU,Россия,,,В мире,,Newsru,Ньюс ру,http://feeds.newsru.com/com/www/section/world
RU,Россия,,,Экономика,,Newsru,Ньюс ру,http://feeds.newsru.com/com/www/section/finance
RU,Россия,,,Религия и общество,,Newsru,Ньюс ру,http://feeds.newsru.com/com/www/section/religy
RU,Россия,,,Проишествия,,Newsru,Ньюс ру,http://feeds.newsru.com/com/www/section/crime
RU,Россия,,,Спорт,,Newsru,Ньюс ру,http://feeds.newsru.com/com/www/section/sport
RU,Россия,,,Культура,,Newsru,Ньюс ру,http://feeds.newsru.com/com/www/section/cinema
RU,Россия,,,Недвижимость,,Newsru,Ньюс ру,http://realty.newsru.com/rss
RU,Россия,,,Авто,,Newsru,Ньюс ру,http://auto.newsru.com/rss
RU,Россия,,,Hi-Tech,,Newsru,Ньюс ру,http://hitech.newsru.com/rss
RU,Россия,,,В блогах,,Newsru,Ньюс ру,http://blogs.newsru.com/rss
RU,Россия,,Москва,В Москве,,Newsru,Ньюс ру москва,http://www.newsmsk.com/rss/
RU,Россия,,,Заголовки,,Newsru,Заголовки ру,http://www.zagolovki.ru/rss/
RU,Россия,,,Медицина,,Newsru,Ньюс ру,http://www.meddaily.ru/rss/
RU,Россия,,,Инопресса,,Newsru,Инопресса,http://www.inopressa.ru/rss/
RU,Украина,,,Новости Украины,,Newsru,Ньюс ру,http://feeds.newsru.ua/uarus/www/news/main
RU,Израиль,,,Новости Израиля,,Newsru,Ньюс ру,http://feeds.newsru.com/il/www/news/main
RU,Россия,,,Главные новости,,Sportbox,спортбокс,http://news.sportbox.ru/taxonomy/term/7212/0/feed
RU,Россия,,,Все новости,,Sportbox,спортбокс,http://news.sportbox.ru/news/all/feed
RU,Россия,,,Все новости,,Sports.ru,спортс ру,http://www.sports.ru/rss/all_news.xml
RU,Россия,,,Все новости,,Грани.ru,Грани ру,http://grani.ru/export/articles-rss2.xml
RU,Россия,,,Первая полоса,,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/first.xml
RU,Россия,,,Хроника дня,,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/lenta.xml
RU,Россия,,,Новость часа,,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/lastnews.xml
RU,Россия,,,Политика,,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/politics.xml
